      0.0000     0.0000
      0.0667     1.3669
      0.1333     1.3989
      0.2000     1.4188
      0.2667     1.4248
      0.3333     1.4147
      0.4000     1.3879
      0.4667     1.3486
      0.5333     1.3033
      0.6000     1.2672
      0.6667     1.2546
      0.7333     1.2667
      0.8000     1.3076
      0.8667     1.3710
      0.9333     1.4501
      1.0000     1.4806
      1.0667     1.4316
      1.1333     1.3923
      1.2000     1.3746
      1.2667     1.3775
      1.3333     1.3845
      1.4000     1.3899
      1.4667     1.3906
      1.5333     1.3885
      1.6000     1.3832
      1.6667     1.3785
      1.7333     1.3728
      1.8000     1.3680
      1.8667     1.3599
      1.9333     1.3509
      2.0000     1.3415
      2.0667     1.3325
      2.1333     1.3228
      2.2000     1.3116
      2.2667     1.2985
      2.3333     1.2858
      2.4000     1.2747
      2.4667     1.2632
      2.5333     1.2480
      2.6000     1.2345
      2.6667     1.2210
      2.7333     1.2081
      2.8000     1.1964
      2.8667     1.1817
      2.9333     1.1641
      3.0000     1.1514
      3.0667     1.1369
      3.1333     1.1258
      3.2000     1.1133
      3.2667     1.0976
      3.3333     1.0858
      3.4000     1.0705
      3.4667     1.0607
      3.5333     1.0511
      3.6000     1.0368
      3.6667     1.0283
      3.7333     1.0145
      3.8000     1.0005
      3.8667     0.9907
      3.9333     0.9816
      4.0000     0.9736
      4.0667     0.9609
      4.1333     0.9513
      4.2000     0.9413
      4.2667     0.9305
      4.3333     0.9234
      4.4000     0.9151
      4.4667     0.9067
      4.5333     0.8981
      4.6000     0.8867
      4.6667     0.8740
      4.7333     0.8616
      4.8000     0.8569
      4.8667     0.8453
      4.9333     0.8366
      5.0000     0.8260
      5.0667     0.8195
      5.1333     0.8080
      5.2000     0.8035
      5.2667     0.7912
      5.3333     0.7827
      5.4000     0.7796
      5.4667     0.7684
      5.5333     0.7564
      5.6000     0.7490
      5.6667     0.7442
      5.7333     0.7334
      5.8000     0.7232
      5.8667     0.7239
      5.9333     0.7237
      6.0000     0.7149
      6.0667     0.7039
      6.1333     0.6897
      6.2000     0.6909
      6.2667     0.6810
      6.3333     0.6784
      6.4000     0.6713
      6.4667     0.6605
      6.5333     0.6610
      6.6000     0.6380
      6.6667     0.6445
      6.7333     0.6347
      6.8000     0.6353
      6.8667     0.6237
      6.9333     0.6199
      7.0000     0.6114
      7.0667     0.6122
      7.1333     0.5963
      7.2000     0.6004
      7.2667     0.5890
      7.3333     0.5878
      7.4000     0.5775
      7.4667     0.5729
      7.5333     0.5598
      7.6000     0.5706
      7.6667     0.5433
      7.7333     0.5566
      7.8000     0.5507
      7.8667     0.5373
      7.9333     0.5418
      8.0000     0.5234
      8.0667     0.5154
      8.1333     0.5309
      8.2000     0.5122
      8.2667     0.5036
      8.3333     0.5194
      8.4000     0.5000
      8.4667     0.5000
      8.5333     0.5000
      8.6000     0.5000
      8.6667     0.5000
      8.7333     0.5000
      8.8000     0.5000
      8.8667     0.5000
      8.9333     0.5000
      9.0000     0.5000
      9.0667     0.5000
      9.1333     0.5000
      9.2000     0.5000
      9.2667     0.5000
      9.3333     0.5000
      9.4000     0.5000
      9.4667     0.5000
      9.5333     0.5000
      9.6000     0.5000
      9.6667     0.5000
      9.7333     0.5000
      9.8000     0.5000
      9.8667     0.5000
      9.9333     0.5000
     10.0000     0.5000
